loan_id,reporting_date,product_type,origination_date,original_amount,outstanding_balance,credit_score_origination,credit_score_current,days_past_due,interest_rate,industry_sector,geography,pd_12m,pd_lifetime,lgd,ifrs9_stage,ecl_amount,ecl_rate
LN0000024,2024-09-30,Personal Loan,2019-11-21,11223.08,2960.94,752,788,0,9.26,N/A,North,0.006,0.018,0.5686,1,10.1,0.3411
LN0000025,2024-09-30,Personal Loan,2023-07-01,25425.94,17457.65,736,720,0,9.08,N/A,North,0.012,0.036,0.686,1,143.71,0.8232
LN0000026,2024-09-30,Auto Loan,2022-04-21,52654.35,25982.04,512,538,0,7.67,N/A,East,0.09,0.27,0.3442,2,2414.61,9.2934
LN0000027,2024-09-30,Mortgage,2020-07-11,549714.78,152645.74,776,741,0,4.17,N/A,North,0.007,0.021,0.1938,1,207.08,0.1357
LN0000028,2024-09-30,Personal Loan,2022-08-23,15848.86,8646.84,802,772,0,8.78,N/A,West,0.006,0.018,0.6898,1,35.79,0.4139
LN0000029,2024-09-30,Personal Loan,2021-06-14,4113.49,1277.83,641,689,0,9.29,N/A,North,0.03,0.09,0.6278,1,24.07,1.8837
LN0000030,2024-09-30,Mortgage,2020-07-16,337868.63,98963.77,699,699,0,4.52,N/A,East,0.0175,0.0525,0.2509,1,434.53,0.4391
LN0000031,2024-09-30,Auto Loan,2021-04-26,45222.95,12267.94,609,595,0,7.46,N/A,North,0.09,0.27,0.2876,2,952.63,7.7652
LN0000032,2024-09-30,Mortgage,2020-03-20,257678.11,72380.85,524,558,0,5.47,N/A,East,0.07,0.21,0.1773,2,2694.96,3.7233
LN0000033,2024-09-30,Mortgage,2022-08-06,641966.84,314080.14,621,652,0,4.7,N/A,North,0.0175,0.0525,0.2479,1,1362.56,0.4338
LN0000034,2024-09-30,Credit Card,2022-06-17,7554.64,3857.92,637,660,0,18.41,N/A,East,0.0375,0.1125,0.7626,2,330.98,8.5792
LN0000035,2024-09-30,SME Loan,2021-04-22,146941.73,42545.24,652,637,0,8.13,Retail,Central,0.065,0.195,0.4969,2,4122.44,9.6895
LN0000036,2024-09-30,Credit Card,2022-04-03,8460.73,3578.71,603,596,0,19.05,N/A,West,0.15,0.45,0.6234,2,1003.94,28.0531
LN0000037,2024-09-30,Mortgage,2022-01-09,317008.84,134878.76,621,629,0,5.61,N/A,North,0.035,0.105,0.2137,2,3026.48,2.2439
LN0000038,2024-09-30,Mortgage,2020-11-28,77156.78,21114.81,679,696,0,5.1,N/A,East,0.0175,0.0525,0.2237,1,82.66,0.3915
LN0000039,2024-09-30,Auto Loan,2021-08-15,24351.4,7732.22,618,606,0,7.09,N/A,South,0.045,0.135,0.3395,2,354.39,4.5833
LN0000040,2024-09-30,Personal Loan,2022-10-03,27400.07,14898.35,723,728,0,8.93,N/A,Central,0.012,0.036,0.6462,1,115.53,0.7755
LN0000041,2024-09-30,Mortgage,2023-06-05,179190.42,115261.32,735,741,0,4.21,N/A,West,0.007,0.021,0.1671,1,134.82,0.117
LN0000042,2024-09-30,Personal Loan,2020-04-18,11683.31,3197.72,850,850,0,8.63,N/A,North,0.006,0.018,0.6658,1,12.77,0.3993
LN0000043,2024-09-30,Mortgage,2022-04-04,159146.72,71422.33,770,789,0,4.41,N/A,North,0.0035,0.0105,0.2707,1,67.67,0.0947
LN0000044,2024-09-30,Credit Card,2020-06-26,11991.6,3456.31,699,662,0,18.43,N/A,West,0.0375,0.1125,0.6318,2,245.67,7.1079
LN0000045,2024-09-30,Mortgage,2022-04-28,622031.63,305156.61,630,625,0,4.84,N/A,North,0.035,0.105,0.1668,2,5344.51,1.7514
LN0000046,2024-09-30,Auto Loan,2022-01-06,20878.02,8753.99,703,680,0,6.56,N/A,Central,0.0225,0.0675,0.3397,1,66.91,0.7643
LN0000047,2024-09-30,Mortgage,2021-02-11,288846.01,73950.62,706,720,0,4.51,N/A,Central,0.007,0.021,0.167,1,86.45,0.1169
LN0000048,2024-09-30,Personal Loan,2021-02-16,8881.3,2636.82,639,662,0,9.85,N/A,West,0.03,0.09,0.5721,1,45.26,1.7165
LN0000049,2024-09-30,Personal Loan,2021-05-02,19321.37,5656.58,743,745,0,8.71,N/A,North,0.012,0.036,0.6505,1,44.16,0.7807
LN0000050,2024-09-30,Mortgage,2021-08-13,346224.1,107899.75,568,561,0,5.52,N/A,East,0.07,0.21,0.1981,2,4488.74,4.1601
LN0000051,2024-09-30,SME Loan,2021-05-14,174240.86,53206.01,660,662,0,7.5,Manufacturing,South,0.0325,0.0975,0.4127,2,2140.92,4.0238
LN0000052,2024-09-30,Auto Loan,2022-05-04,33954.18,15272.53,724,730,0,6.68,N/A,West,0.009,0.027,0.3129,1,43.01,0.2816
LN0000053,2024-09-30,Credit Card,2021-03-08,21326.44,5994.12,657,641,0,18.03,N/A,South,0.075,0.225,0.7477,2,1008.41,16.8233
LN0000054,2024-09-30,Credit Card,2019-11-11,2939.63,811.33,663,633,0,18.11,N/A,South,0.075,0.225,0.6336,2,115.66,14.2556
LN0000055,2024-09-30,Personal Loan,2021-05-19,4786.9,1383.94,669,618,0,9.02,N/A,North,0.06,0.18,0.6,2,149.47,10.8003
LN0000056,2024-09-30,Credit Card,2023-06-18,4037.8,2934.13,613,645,0,18.53,N/A,South,0.075,0.225,0.6111,2,403.44,13.7499
LN0000057,2024-09-30,Mortgage,2020-09-18,122517.1,33653.15,774,786,0,4.22,N/A,Central,0.0035,0.0105,0.2248,1,26.48,0.0787
LN0000058,2024-09-30,Mortgage,2023-03-02,127232.18,74396.23,599,608,120,5.58,N/A,Central,0.28,0.84,0.2938,3,18360.39,24.6792
LN0000059,2024-09-30,Mortgage,2020-08-13,162647.84,48403.79,705,737,0,4.45,N/A,West,0.007,0.021,0.2605,1,88.26,0.1823
LN0000060,2024-09-30,Mortgage,2020-08-02,169211.64,50158.41,713,682,0,4.27,N/A,Central,0.0175,0.0525,0.2999,1,263.24,0.5248
LN0000061,2024-09-30,Personal Loan,2021-06-04,7534.36,2336.75,604,561,0,9.83,N/A,North,0.12,0.36,0.5559,2,467.64,20.0124
LN0000062,2024-09-30,Mortgage,2023-03-19,347704.92,220233.95,686,695,0,5.01,N/A,East,0.0175,0.0525,0.2706,1,1042.92,0.4736
LN0000063,2024-09-30,Credit Card,2023-09-13,3815.8,2595.14,607,615,60,18.51,N/A,East,0.3,0.9,0.6092,2,1422.86,54.8279
LN0000064,2024-09-30,Personal Loan,2021-12-29,11995.55,5125.29,791,748,30,8.9,N/A,South,0.024,0.072,0.5895,2,217.54,4.2444
LN0000065,2024-09-30,Mortgage,2020-11-30,419624.85,108429.6,589,598,0,5.58,N/A,South,0.07,0.21,0.2489,2,5667.51,5.2269
LN0000066,2024-09-30,Personal Loan,2020-09-22,8435.52,2177.1,628,618,0,9.46,N/A,Central,0.06,0.18,0.5122,2,200.72,9.2196
LN0000067,2024-09-30,Mortgage,2022-11-06,235090.79,134426.48,582,562,0,5.37,N/A,East,0.07,0.21,0.182,2,5137.78,3.822
LN0000068,2024-09-30,Credit Card,2021-05-19,5901.02,1633.24,571,563,0,18.54,N/A,West,0.15,0.45,0.6269,2,460.75,28.2108
LN0000069,2024-09-30,Mortgage,2021-08-19,101642.41,31817.89,807,746,0,3.74,N/A,West,0.007,0.021,0.2734,1,60.89,0.1914
LN0000070,2024-09-30,SME Loan,2022-09-05,18593.48,9851.03,723,709,0,8.11,Retail,North,0.013,0.039,0.4671,1,59.82,0.6072
LN0000071,2024-09-30,Auto Loan,2022-01-03,34147.58,13196.06,691,674,0,6.59,N/A,North,0.0225,0.0675,0.268,1,79.57,0.603
LN0000072,2024-09-30,Mortgage,2022-11-29,343178.89,188144.64,627,641,0,4.89,N/A,West,0.035,0.105,0.2225,2,4395.53,2.3363
LN0000073,2024-09-30,Mortgage,2020-03-20,753218.07,194677.48,753,749,0,4.96,N/A,East,0.007,0.021,0.2882,1,392.74,0.2017
LN0000074,2024-09-30,Credit Card,2021-04-20,5319.04,1408.05,614,630,0,18.91,N/A,West,0.075,0.225,0.7392,2,234.19,16.6322
LN0000075,2024-09-30,Auto Loan,2021-12-19,41270.2,17208.32,743,680,0,6.62,N/A,South,0.0225,0.0675,0.2861,1,110.77,0.6437
LN0000076,2024-09-30,Auto Loan,2021-06-13,27496.42,8828.59,610,589,0,7.4,N/A,Central,0.09,0.27,0.3906,2,931.08,10.5462
LN0000077,2024-09-30,Auto Loan,2020-12-10,33486.27,9220.91,628,642,0,7.32,N/A,West,0.045,0.135,0.2895,2,360.38,3.9083
LN0000078,2024-09-30,Mortgage,2022-04-30,617619.85,291036.37,741,733,0,4.81,N/A,South,0.007,0.021,0.1822,1,371.19,0.1275
LN0000079,2024-09-30,Personal Loan,2022-01-04,3735.38,1419.27,749,770,0,8.57,N/A,South,0.006,0.018,0.691,1,5.88,0.4143
LN0000080,2024-09-30,Mortgage,2020-02-07,329986.86,85175.96,728,683,120,4.52,N/A,South,0.14,0.42,0.2398,3,8578.58,10.0716
LN0000081,2024-09-30,Credit Card,2021-09-22,14296.83,4912.47,596,614,0,18.56,N/A,North,0.075,0.225,0.6601,2,729.61,14.8522
LN0000082,2024-09-30,Auto Loan,2022-06-20,33283.39,16657.27,644,628,0,6.6,N/A,West,0.045,0.135,0.3212,2,722.29,4.3362
LN0000083,2024-09-30,Mortgage,2023-03-04,612489.13,400221.36,693,674,0,4.7,N/A,South,0.0175,0.0525,0.1757,1,1230.58,0.3075
LN0000084,2024-09-30,Mortgage,2020-08-22,195906.72,55289.8,612,637,0,5.31,N/A,Central,0.035,0.105,0.2591,2,1504.19,2.7206
LN0000085,2024-09-30,Mortgage,2020-12-04,264071.78,71998.05,790,819,0,3.98,N/A,Central,0.0035,0.0105,0.2178,1,54.88,0.0762
LN0000086,2024-09-30,Mortgage,2021-07-20,272873.16,83137.95,488,514,120,5.62,N/A,West,0.56,1.0,0.157,3,13052.66,15.7
LN0000087,2024-09-30,Auto Loan,2022-06-12,12246.11,6309.9,618,669,60,7.3,N/A,North,0.09,0.27,0.2855,2,486.4,7.7085
LN0000088,2024-09-30,Auto Loan,2021-05-11,18633.73,5262.65,639,671,0,7.13,N/A,North,0.0225,0.0675,0.3667,1,43.42,0.8251
LN0000089,2024-09-30,Credit Card,2022-06-29,2840.01,1478.95,452,433,90,19.86,N/A,West,0.6,1.0,0.6462,2,955.7,64.6202
LN0000090,2024-09-30,Personal Loan,2023-01-22,21878.06,13328.33,568,572,0,10.2,N/A,Central,0.12,0.36,0.5632,2,2702.35,20.2752
LN0000091,2024-09-30,Mortgage,2021-09-10,415017.74,151524.53,730,721,0,5.07,N/A,South,0.007,0.021,0.2001,1,212.24,0.1401
LN0000092,2024-09-30,Auto Loan,2021-01-24,33847.3,10012.98,682,733,0,6.94,N/A,South,0.009,0.027,0.2762,1,24.89,0.2486
LN0000093,2024-09-30,Auto Loan,2021-05-31,41342.29,13209.0,806,833,0,6.42,N/A,South,0.0045,0.0135,0.3823,1,22.72,0.172
LN0000094,2024-09-30,Personal Loan,2023-02-08,12106.65,7508.27,804,799,90,9.09,N/A,West,0.024,0.072,0.5007,2,270.68,3.6051
LN0000095,2024-09-30,Auto Loan,2020-02-10,48087.27,13369.12,715,737,0,7.02,N/A,West,0.009,0.027,0.3381,1,40.68,0.3043
LN0000096,2024-09-30,Personal Loan,2022-06-11,13430.36,6360.6,705,674,0,9.44,N/A,North,0.03,0.09,0.5364,1,102.35,1.6091
LN0000097,2024-09-30,Personal Loan,2021-11-22,13831.7,5760.98,685,692,0,9.32,N/A,East,0.03,0.09,0.6428,1,111.09,1.9283
LN0000098,2024-09-30,Personal Loan,2020-11-22,11391.75,3139.64,468,444,0,10.19,N/A,North,0.12,0.36,0.6598,2,745.75,23.7527
LN0000099,2024-09-30,Mortgage,2023-02-28,377839.67,222578.89,568,526,0,5.79,N/A,West,0.07,0.21,0.1825,2,8530.34,3.8325
LN0000100,2024-09-30,Mortgage,2021-05-30,217379.64,64194.65,688,708,0,5.09,N/A,West,0.007,0.021,0.2225,1,99.98,0.1557
LN0000101,2024-09-30,Mortgage,2023-05-20,437230.45,274640.1,729,752,0,4.94,N/A,West,0.0035,0.0105,0.2687,1,258.29,0.094
LN0000102,2024-09-30,Auto Loan,2021-04-10,18904.22,5248.07,703,715,0,6.37,N/A,East,0.009,0.027,0.3982,1,18.81,0.3584
LN0000103,2024-09-30,Mortgage,2020-08-05,154901.06,43412.17,609,604,0,5.02,N/A,North,0.035,0.105,0.2785,2,1269.48,2.9242
LN0000104,2024-09-30,Personal Loan,2022-08-18,20180.18,10360.06,755,723,0,8.9,N/A,West,0.012,0.036,0.5744,1,71.41,0.6893
LN0000105,2024-09-30,Credit Card,2019-10-17,4701.93,1214.15,799,770,0,18.1,N/A,Central,0.0075,0.0225,0.7786,1,7.09,0.5839
LN0000106,2024-09-30,Mortgage,2020-02-22,213855.17,63612.86,755,731,0,4.87,N/A,East,0.007,0.021,0.2154,1,95.92,0.1508
LN0000107,2024-09-30,Personal Loan,2020-04-10,22789.03,6604.28,759,753,0,8.74,N/A,South,0.006,0.018,0.6986,1,27.68,0.4191
LN0000108,2024-09-30,Auto Loan,2023-07-08,23320.67,17067.8,635,662,0,7.26,N/A,North,0.0225,0.0675,0.3589,1,137.83,0.8075
LN0000109,2024-09-30,Mortgage,2022-03-25,242777.19,107419.01,766,793,0,4.0,N/A,North,0.0035,0.0105,0.2864,1,107.68,0.1002
LN0000110,2024-09-30,Mortgage,2019-12-03,540156.38,156233.43,692,650,0,4.7,N/A,North,0.0175,0.0525,0.169,1,462.06,0.2957
LN0000111,2024-09-30,Mortgage,2022-09-19,579297.34,314213.67,721,704,0,4.63,N/A,North,0.007,0.021,0.2541,1,558.89,0.1779
LN0000112,2024-09-30,Mortgage,2019-11-18,589010.39,155527.46,709,691,30,4.97,N/A,South,0.035,0.105,0.1973,2,3221.98,2.0716
LN0000113,2024-09-30,Credit Card,2020-10-22,4268.16,1112.28,670,607,30,18.79,N/A,Central,0.15,0.45,0.7059,2,353.32,31.7654
LN0000114,2024-09-30,Credit Card,2023-02-02,9093.83,5439.62,611,625,0,18.53,N/A,East,0.075,0.225,0.7471,2,914.39,16.8098
LN0000115,2024-09-30,Auto Loan,2020-02-22,20341.51,5313.0,673,667,0,6.91,N/A,South,0.0225,0.0675,0.3606,1,43.11,0.8114
LN0000116,2024-09-30,Credit Card,2021-03-26,3123.0,936.66,759,756,0,18.1,N/A,North,0.0075,0.0225,0.7297,1,5.13,0.5477
LN0000117,2024-09-30,Credit Card,2023-01-09,1517.43,845.66,645,678,60,18.36,N/A,Central,0.15,0.45,0.6296,2,239.59,28.3317
LN0000118,2024-09-30,Mortgage,2020-08-14,619355.13,170230.66,751,754,0,4.98,N/A,East,0.0035,0.0105,0.1513,1,90.15,0.053
LN0000119,2024-09-30,Credit Card,2021-10-20,3190.75,1177.91,739,728,0,18.43,N/A,Central,0.015,0.045,0.7199,1,12.72,1.0799
LN0000120,2024-09-30,Personal Loan,2020-04-08,12383.01,3325.19,656,670,30,9.27,N/A,West,0.06,0.18,0.5357,2,320.63,9.6425
LN0000121,2024-09-30,Credit Card,2023-07-24,3117.66,2213.83,791,818,60,17.8,N/A,North,0.03,0.09,0.7578,2,150.99,6.8203
LN0000122,2024-09-30,Credit Card,2023-08-06,6957.55,4650.63,652,659,0,18.22,N/A,Central,0.0375,0.1125,0.655,2,342.69,7.3687
LN0000123,2024-09-30,Mortgage,2019-11-26,222388.95,64554.19,801,818,0,4.26,N/A,East,0.0035,0.0105,0.1743,1,39.38,0.061
LN0000124,2024-09-30,Mortgage,2023-08-24,139747.37,97599.13,715,711,0,4.86,N/A,East,0.007,0.021,0.1924,1,131.45,0.1347
LN0000125,2024-09-30,Mortgage,2021-07-23,334646.92,110819.33,679,677,0,4.44,N/A,West,0.0175,0.0525,0.232,1,449.93,0.406
LN0000126,2024-09-30,Personal Loan,2020-11-24,5651.98,1623.27,609,612,0,10.08,N/A,West,0.06,0.18,0.6708,2,196.0,12.0744
LN0000127,2024-09-30,Credit Card,2021-09-30,3233.42,1243.58,673,654,0,18.48,N/A,West,0.0375,0.1125,0.7046,2,98.58,7.9271
LN0000128,2024-09-30,Credit Card,2021-06-29,1713.95,567.46,664,649,0,18.92,N/A,West,0.075,0.225,0.73,2,93.21,16.4258
LN0000129,2024-09-30,Mortgage,2021-09-06,131665.64,46817.93,579,614,0,4.88,N/A,East,0.035,0.105,0.1734,2,852.41,1.8207
LN0000130,2024-09-30,Personal Loan,2022-10-15,14870.24,8133.63,663,713,0,9.77,N/A,West,0.012,0.036,0.5411,1,52.81,0.6493
LN0000131,2024-09-30,Personal Loan,2020-02-18,4110.41,1141.23,616,656,0,9.96,N/A,Central,0.03,0.09,0.5536,1,18.95,1.6605
LN0000132,2024-09-30,Mortgage,2022-12-23,127954.13,79118.5,727,694,0,4.25,N/A,West,0.0175,0.0525,0.2095,1,290.07,0.3666
LN0000133,2024-09-30,Mortgage,2023-06-14,268019.64,193814.5,785,749,0,4.16,N/A,North,0.007,0.021,0.296,1,401.58,0.2072
LN0000134,2024-09-30,Mortgage,2020-12-19,204474.09,53095.83,582,552,90,5.73,N/A,East,0.28,0.84,0.2226,2,9928.07,18.6984
LN0000135,2024-09-30,Credit Card,2020-06-15,13306.64,3623.64,817,820,0,17.68,N/A,North,0.0075,0.0225,0.7493,1,20.36,0.5619
LN0000136,2024-09-30,Mortgage,2022-04-06,671284.47,321487.23,670,599,0,4.8,N/A,North,0.07,0.21,0.1611,2,10876.23,3.3831
LN0000137,2024-09-30,Personal Loan,2023-09-07,7936.65,5691.06,602,587,0,10.15,N/A,North,0.12,0.36,0.5914,2,1211.65,21.2904
LN0000138,2024-09-30,Auto Loan,2021-06-11,37155.05,11014.44,741,776,0,6.14,N/A,North,0.0045,0.0135,0.3804,1,18.85,0.1711
LN0000139,2024-09-30,Personal Loan,2021-08-02,20943.21,6841.98,644,669,0,9.5,N/A,North,0.03,0.09,0.6072,1,124.63,1.8215
LN0000140,2024-09-30,SME Loan,2021-09-24,64975.45,23695.03,673,661,0,8.04,Technology,North,0.0325,0.0975,0.5054,2,1167.61,4.9277
LN0000141,2024-09-30,SME Loan,2023-08-06,34652.35,26546.78,648,637,0,8.12,Healthcare,East,0.065,0.195,0.5171,2,2676.83,10.0834
LN0000142,2024-09-30,Mortgage,2023-04-05,266692.28,171939.44,615,629,0,4.94,N/A,North,0.035,0.105,0.195,2,3520.46,2.0475
LN0000143,2024-09-30,Personal Loan,2023-02-12,12043.65,7099.42,738,761,0,9.12,N/A,South,0.006,0.018,0.5683,1,24.21,0.341
LN0000144,2024-09-30,Mortgage,2022-10-24,215802.25,114584.84,657,644,30,5.17,N/A,West,0.07,0.21,0.1933,2,4651.34,4.0593
LN0000145,2024-09-30,Mortgage,2022-06-12,334756.42,152731.13,565,559,0,5.51,N/A,Central,0.07,0.21,0.1546,2,4958.57,3.2466
LN0000146,2024-09-30,Mortgage,2022-03-05,184358.07,82253.14,724,710,0,4.81,N/A,South,0.007,0.021,0.2613,1,150.45,0.1829
LN0000147,2024-09-30,Auto Loan,2022-07-04,18754.72,9523.06,584,550,0,7.09,N/A,Central,0.09,0.27,0.3605,2,926.93,9.7335
LN0000148,2024-09-30,Personal Loan,2020-04-24,14263.37,3768.89,588,582,30,10.14,N/A,East,0.24,0.72,0.5124,2,1390.45,36.8928
LN0000149,2024-09-30,Mortgage,2022-12-17,325456.81,197910.54,775,768,30,4.32,N/A,North,0.007,0.021,0.2661,2,1105.94,0.5588
LN0000150,2024-09-30,Mortgage,2020-05-13,148996.42,42963.09,584,553,0,5.82,N/A,West,0.07,0.21,0.1551,2,1399.35,3.2571
LN0000151,2024-09-30,Credit Card,2023-01-17,7816.92,4547.2,495,511,0,18.8,N/A,Central,0.15,0.45,0.6533,2,1336.81,29.3985
LN0000152,2024-09-30,Mortgage,2022-04-20,110719.96,50246.14,730,742,0,4.48,N/A,West,0.007,0.021,0.238,1,83.71,0.1666
LN0000153,2024-09-30,Mortgage,2021-11-14,200976.5,83509.03,656,673,0,4.65,N/A,North,0.0175,0.0525,0.2692,1,393.41,0.4711
LN0000154,2024-09-30,Personal Loan,2021-03-17,11443.7,3110.88,663,643,0,9.49,N/A,North,0.06,0.18,0.6511,2,364.59,11.7198
LN0000155,2024-09-30,SME Loan,2023-02-15,63236.91,40882.42,655,605,0,7.72,Manufacturing,North,0.065,0.195,0.5797,2,4621.41,11.3041
LN0000156,2024-09-30,Mortgage,2020-04-30,202292.46,55705.81,699,710,0,4.99,N/A,South,0.007,0.021,0.1755,1,68.43,0.1228
LN0000157,2024-09-30,Auto Loan,2022-02-13,62845.2,28418.65,620,603,0,7.53,N/A,South,0.045,0.135,0.3866,2,1483.2,5.2191
LN0000158,2024-09-30,Auto Loan,2022-07-24,21155.31,11357.1,798,776,0,5.97,N/A,East,0.0045,0.0135,0.3017,1,15.42,0.1358
LN0000159,2024-09-30,Mortgage,2021-05-03,909464.15,265962.95,562,530,0,5.1,N/A,East,0.07,0.21,0.2548,2,14231.15,5.3508
LN0000160,2024-09-30,Auto Loan,2020-12-15,35413.58,10392.65,716,709,0,7.05,N/A,East,0.009,0.027,0.3648,1,34.12,0.3283
LN0000161,2024-09-30,Personal Loan,2022-08-26,14118.38,8036.28,731,771,0,8.95,N/A,South,0.006,0.018,0.6744,1,32.52,0.4047
LN0000162,2024-09-30,Auto Loan,2022-01-18,35972.0,15242.45,619,607,0,7.09,N/A,North,0.045,0.135,0.3754,2,772.47,5.0679
LN0000163,2024-09-30,Auto Loan,2023-07-06,81794.98,54248.98,598,571,0,6.98,N/A,South,0.09,0.27,0.3804,2,5571.8,10.2708
LN0000164,2024-09-30,Personal Loan,2022-02-25,7360.21,3169.57,761,778,30,8.87,N/A,Central,0.012,0.036,0.689,2,78.62,2.4805
LN0000165,2024-09-30,Mortgage,2022-11-27,153244.66,92469.67,601,605,0,4.98,N/A,West,0.035,0.105,0.2785,2,2704.04,2.9242
LN0000166,2024-09-30,Credit Card,2021-04-09,3369.66,957.96,631,578,0,18.76,N/A,South,0.15,0.45,0.6457,2,278.35,29.0565
LN0000167,2024-09-30,Mortgage,2022-10-24,272684.73,145159.18,751,768,0,4.49,N/A,North,0.0035,0.0105,0.2815,1,143.02,0.0985
LN0000168,2024-09-30,Mortgage,2022-07-23,113222.98,53949.87,683,736,0,5.12,N/A,North,0.007,0.021,0.18,1,67.98,0.126
LN0000169,2024-09-30,Mortgage,2023-04-08,271351.31,180769.31,536,471,0,5.38,N/A,East,0.07,0.21,0.2969,2,11270.79,6.2349
LN0000170,2024-09-30,Personal Loan,2023-05-16,36905.96,23605.41,820,789,0,8.66,N/A,East,0.006,0.018,0.593,1,83.99,0.3558
LN0000171,2024-09-30,Auto Loan,2023-03-22,31588.96,20160.58,638,566,0,6.82,N/A,North,0.09,0.27,0.2916,2,1587.28,7.8732
LN0000172,2024-09-30,Mortgage,2020-06-09,231806.27,66900.13,648,646,0,5.45,N/A,North,0.035,0.105,0.1669,2,1172.39,1.7524
LN0000173,2024-09-30,Personal Loan,2020-05-08,9219.75,2584.48,700,725,0,9.27,N/A,South,0.012,0.036,0.5933,1,18.4,0.7119
LN0000174,2024-09-30,Mortgage,2020-07-01,420523.59,108809.9,730,733,0,4.27,N/A,North,0.007,0.021,0.2566,1,195.44,0.1796
LN0000175,2024-09-30,Auto Loan,2020-07-04,21368.37,5627.38,837,850,0,5.84,N/A,Central,0.0045,0.0135,0.3733,1,9.45,0.1679
LN0000176,2024-09-30,Mortgage,2021-03-03,675492.92,178917.65,547,568,0,5.1,N/A,North,0.07,0.21,0.2337,2,8780.74,4.9077
LN0000177,2024-09-30,Auto Loan,2022-04-25,64430.6,28978.99,746,789,0,6.05,N/A,Central,0.0045,0.0135,0.2513,1,32.77,0.1131
LN0000178,2024-09-30,Personal Loan,2020-10-31,15584.79,4370.65,739,768,0,9.08,N/A,West,0.006,0.018,0.5268,1,13.81,0.316
